judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,11,4,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,4,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,4,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,7,4,3,3,0.75,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,4,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,12,7,3,5,0.42857142857142855,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,8,7,1,6,0.14285714285714285,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,7,2,5,0.2857142857142857,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,7,4,5,0.5714285714285714,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,10,7,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,10,7,6,7,0.8571428571428571,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,7,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,10,7,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,15,7,5,6,0.7142857142857143,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,16,7,5,6,0.7142857142857143,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,20,7,6,6,0.8571428571428571,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,19,7,6,6,0.8571428571428571,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,12,7,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,14,7,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,15,7,6,7,0.8571428571428571,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,16,7,7,7,1.0,1.0
