judge_model,experiment_type,app,variant,detector_model,method,n_omissions,n_true_gaps,found_strict,found_broad,recall_strict,recall_broad
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-tracker,3,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-warehouse,4,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,twoshot,4,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,zeroshot,5,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-tracker,5,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-warehouse,4,3,1,1,0.3333333333333333,0.3333333333333333
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,twoshot,3,3,1,1,0.3333333333333333,0.3333333333333333
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,zeroshot,5,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-tracker,6,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-warehouse,8,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,twoshot,6,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,zeroshot,7,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,twoshot,4,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,zeroshot,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-tracker,2,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,2,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,twoshot,2,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,zeroshot,3,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-tracker,9,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,twoshot,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,zeroshot,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-tracker,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-warehouse,5,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,twoshot,3,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,zeroshot,3,2,2,2,1.0,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,3,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,3,0,2,0.0,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,3,0,2,0.0,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,3,0,2,0.0,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,5,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,6,3,2,2,0.6666666666666666,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,twoshot,5,3,2,3,0.6666666666666666,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,zeroshot,5,3,0,2,0.0,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,7,3,1,2,0.3333333333333333,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,5,3,1,1,0.3333333333333333,0.3333333333333333
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,twoshot,7,3,0,2,0.0,0.6666666666666666
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,zeroshot,5,3,2,3,0.6666666666666666,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-tracker,5,3,1,3,0.3333333333333333,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-warehouse,5,3,2,3,0.6666666666666666,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,twoshot,5,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,zeroshot,5,3,3,3,1.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-tracker,4,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-warehouse,3,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,twoshot,3,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,zeroshot,4,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-tracker,1,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-warehouse,0,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,twoshot,1,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,zeroshot,3,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-tracker,0,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-warehouse,0,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,twoshot,0,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,zeroshot,6,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-tracker,1,1,0,1,0.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-warehouse,1,1,1,1,1.0,1.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,twoshot,0,1,0,0,0.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,zeroshot,1,1,0,1,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,11,6,0,6,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,10,6,0,5,0.0,0.8333333333333334
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,10,6,0,6,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,5,6,0,1,0.0,0.16666666666666666
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,6,1,6,0.16666666666666666,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,10,6,4,6,0.6666666666666666,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,10,6,5,6,0.8333333333333334,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,14,6,6,6,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,22,6,2,6,0.3333333333333333,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,27,6,0,1,0.0,0.16666666666666666
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,25,6,1,6,0.16666666666666666,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,23,6,0,6,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,11,6,2,6,0.3333333333333333,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,10,6,2,6,0.3333333333333333,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,10,6,5,6,0.8333333333333334,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,12,6,1,6,0.16666666666666666,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,10,2,0,2,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,2,0,1,0.0,0.5
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,5,2,0,1,0.0,0.5
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,30,2,0,1,0.0,0.5
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,3,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,3,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,2,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,2,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,21,2,0,2,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,25,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,35,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,17,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,3,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,3,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,2,2,0,2,0.0,1.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,4,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,4,2,3,0.5,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,5,4,2,3,0.5,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,6,4,0,3,0.0,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,4,4,2,2,0.5,0.5
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,8,4,3,3,0.75,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,8,4,3,3,0.75,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,4,3,3,0.75,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,5,4,3,3,0.75,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,23,4,4,4,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,16,4,3,4,0.75,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,14,4,3,4,0.75,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,11,4,2,4,0.5,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,4,4,4,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,4,4,4,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,8,4,3,3,0.75,0.75
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,4,4,4,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,12,7,1,5,0.14285714285714285,0.7142857142857143
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,8,7,1,6,0.14285714285714285,0.8571428571428571
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,7,2,5,0.2857142857142857,0.7142857142857143
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,7,5,5,0.7142857142857143,0.7142857142857143
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,11,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,9,7,6,7,0.8571428571428571,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,10,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-tracker,15,7,6,6,0.8571428571428571,0.8571428571428571
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,oneshot-warehouse,16,7,5,6,0.7142857142857143,0.8571428571428571
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,twoshot,20,7,6,6,0.8571428571428571,0.8571428571428571
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-4.1-mini,zeroshot,20,7,6,6,0.8571428571428571,0.8571428571428571
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-tracker,12,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,oneshot-warehouse,14,7,4,7,0.5714285714285714,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,twoshot,14,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,gpt-5.4,zeroshot,16,7,7,7,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-tracker,3,2,0,2,0.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,oneshot-warehouse,2,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,twoshot,3,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,DeepSeek-V3-0324,zeroshot,3,2,0,2,0.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-tracker,3,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,oneshot-warehouse,2,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,twoshot,2,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,claude-sonnet-4-6,zeroshot,2,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-tracker,7,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,oneshot-warehouse,7,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,twoshot,10,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-4.1-mini,zeroshot,6,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-tracker,5,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,oneshot-warehouse,4,2,1,2,0.5,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,twoshot,3,2,2,2,1.0,1.0
claude-sonnet-4-6,restestbench,todoapp,todoapp-R1R2R4R5R7R8R10R12,gpt-5.4,zeroshot,2,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,twoshot,3,2,0,1,0.0,0.5
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,DeepSeek-V3-0324,zeroshot,3,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-tracker,4,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,6,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,zeroshot,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-tracker,10,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-warehouse,7,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,twoshot,8,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,zeroshot,7,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-tracker,6,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-warehouse,4,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,twoshot,6,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,zeroshot,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-tracker,5,2,1,1,0.5,0.5
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-warehouse,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,twoshot,5,2,1,1,0.5,0.5
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,zeroshot,5,2,1,1,0.5,0.5
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-tracker,8,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-warehouse,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,twoshot,6,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,zeroshot,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-tracker,7,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-warehouse,7,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,twoshot,5,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,zeroshot,6,2,1,1,0.5,0.5
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-tracker,5,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-warehouse,6,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,twoshot,7,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,zeroshot,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,5,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,4,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,5,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,4,2,1,2,0.5,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,6,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,4,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,7,2,2,2,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,4,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,4,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,5,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,4,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,4,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,5,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,4,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,5,1,1,1,1.0,1.0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,6,1,1,1,1.0,1.0
