judge_model,experiment_type,app,variant,detector_model,method,n_omission_items,n_delta,n_true_gaps,n_invalid,found_delta_strict,found_gaps_strict,precision_dedup_strict,recall_dedup_strict,found_delta_broad,found_gaps_broad,precision_dedup_broad,recall_dedup_broad
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,5,7,4,0,3,3,1.0,0.75,3,3,1.0,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,5,7,4,0,1,1,1.0,0.25,2,2,1.0,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,4,7,4,0,1,1,1.0,0.25,2,2,1.0,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,8,7,4,0,1,1,1.0,0.25,3,3,1.0,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,8,7,4,0,3,3,1.0,0.75,4,3,0.75,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,7,4,0,3,3,1.0,0.75,4,3,0.75,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,5,7,4,0,3,3,1.0,0.75,3,3,1.0,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,24,7,4,0,5,4,0.8,1.0,7,4,0.5714285714285714,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,16,7,4,0,3,3,1.0,0.75,5,4,0.8,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,14,7,4,0,3,3,1.0,0.75,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,11,7,4,0,4,4,1.0,1.0,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,7,4,0,4,4,1.0,1.0,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,7,4,0,4,4,1.0,1.0,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,7,7,4,0,3,3,1.0,0.75,3,3,1.0,0.75
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,7,4,0,4,4,1.0,1.0,4,4,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,12,9,7,0,3,3,1.0,0.42857142857142855,5,5,1.0,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,8,9,7,0,2,1,0.5,0.14285714285714285,7,6,0.8571428571428571,0.8571428571428571
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,9,7,0,2,2,1.0,0.2857142857142857,5,5,1.0,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,9,7,0,6,4,0.6666666666666666,0.5714285714285714,7,5,0.7142857142857143,0.7142857142857143
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,10,9,7,0,7,7,1.0,1.0,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,10,9,7,0,6,6,1.0,0.8571428571428571,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,9,7,0,7,7,1.0,1.0,7,7,1.0,1.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,zeroshot,10,9,7,0,7,7,1.0,1.0,7,7,1.0,1.0
