judge_model,experiment_type,app,variant,detector_model,method,n_omissions,tp_strict,fp_tracked_strict,excluded_strict,unknown_strict,precision_tracked_strict,exclusion_rate_strict,tp_broad,fp_tracked_broad,excluded_broad,unknown_broad,precision_tracked_broad,exclusion_rate_broad
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,zeroshot,5,1,0,3,1,1.0,0.6,1,0,3,1,1.0,0.6
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-tracker,15,2,0,12,1,1.0,0.8,2,0,12,1,1.0,0.8
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-warehouse,8,1,0,7,0,1.0,0.875,1,0,7,0,1.0,0.875
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,twoshot,9,3,0,6,0,1.0,0.6666666666666666,3,0,6,0,1.0,0.6666666666666666
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,zeroshot,4,3,0,1,0,1.0,0.25,3,0,1,0,1.0,0.25
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-tracker,10,1,0,9,0,1.0,0.9,1,0,9,0,1.0,0.9
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-warehouse,10,1,0,9,0,1.0,0.9,1,0,9,0,1.0,0.9
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,twoshot,7,1,0,6,0,1.0,0.8571428571428571,1,0,6,0,1.0,0.8571428571428571
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,zeroshot,12,1,0,11,0,1.0,0.9166666666666666,1,0,11,0,1.0,0.9166666666666666
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-tracker,7,1,0,5,1,1.0,0.7142857142857143,1,0,5,1,1.0,0.7142857142857143
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-warehouse,7,2,0,5,0,1.0,0.7142857142857143,3,0,4,0,1.0,0.5714285714285714
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,twoshot,8,2,0,6,0,1.0,0.75,3,0,4,1,1.0,0.5
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,zeroshot,6,2,0,4,0,1.0,0.6666666666666666,2,0,4,0,1.0,0.6666666666666666
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,6,3,0,3,0,1.0,0.5,4,0,2,0,1.0,0.3333333333333333
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,6,4,0,2,0,1.0,0.3333333333333333,5,0,1,0,1.0,0.16666666666666666
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,twoshot,7,2,0,5,0,1.0,0.7142857142857143,4,0,3,0,1.0,0.42857142857142855
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,zeroshot,6,3,0,3,0,1.0,0.5,4,0,2,0,1.0,0.3333333333333333
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,12,4,0,8,0,1.0,0.6666666666666666,5,0,7,0,1.0,0.5833333333333334
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,13,4,0,9,0,1.0,0.6923076923076923,5,0,8,0,1.0,0.6153846153846154
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,twoshot,11,4,0,7,0,1.0,0.6363636363636364,5,0,6,0,1.0,0.5454545454545454
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,zeroshot,13,5,0,8,0,1.0,0.6153846153846154,6,0,7,0,1.0,0.5384615384615384
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,19,2,0,17,0,1.0,0.8947368421052632,2,0,17,0,1.0,0.8947368421052632
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,12,2,0,10,0,1.0,0.8333333333333334,2,0,10,0,1.0,0.8333333333333334
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,twoshot,15,2,0,13,0,1.0,0.8666666666666667,2,0,13,0,1.0,0.8666666666666667
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,zeroshot,20,2,0,18,0,1.0,0.9,2,0,18,0,1.0,0.9
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-tracker,13,6,0,7,0,1.0,0.5384615384615384,6,0,7,0,1.0,0.5384615384615384
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-warehouse,14,5,0,9,0,1.0,0.6428571428571429,10,0,4,0,1.0,0.2857142857142857
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,twoshot,16,7,0,9,0,1.0,0.5625,9,0,7,0,1.0,0.4375
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,zeroshot,19,7,0,12,0,1.0,0.631578947368421,8,0,11,0,1.0,0.5789473684210527
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,4,1,1,2,0,0.5,0.5,1,1,2,0,0.5,0.5
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,4,1,1,2,0,0.5,0.5,1,1,2,0,0.5,0.5
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,twoshot,3,1,1,1,0,0.5,0.3333333333333333,1,1,1,0,0.5,0.3333333333333333
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,zeroshot,4,1,1,2,0,0.5,0.5,1,2,1,0,0.3333333333333333,0.25
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-tracker,6,2,1,3,0,0.6666666666666666,0.5,2,2,2,0,0.5,0.3333333333333333
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,8,2,2,4,0,0.5,0.5,3,3,2,0,0.5,0.25
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,twoshot,7,2,0,5,0,1.0,0.7142857142857143,2,2,3,0,0.5,0.42857142857142855
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,zeroshot,7,0,0,7,0,,1.0,2,2,3,0,0.5,0.42857142857142855
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-tracker,12,3,2,7,0,0.6,0.5833333333333334,4,2,6,0,0.6666666666666666,0.5
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,oneshot-warehouse,12,0,0,12,0,,1.0,4,3,5,0,0.5714285714285714,0.4166666666666667
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,twoshot,22,0,0,22,0,,1.0,4,3,15,0,0.5714285714285714,0.6818181818181818
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-4.1-mini,zeroshot,5,0,1,4,0,0.0,0.8,0,4,1,0,0.0,0.2
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-tracker,8,2,1,5,0,0.6666666666666666,0.625,2,3,3,0,0.4,0.375
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,oneshot-warehouse,8,1,1,6,0,0.5,0.75,2,4,2,0,0.3333333333333333,0.25
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,twoshot,9,2,2,5,0,0.5,0.5555555555555556,2,5,2,0,0.2857142857142857,0.2222222222222222
gpt-5.4,microservices,pet-store,registry-R1R2R3,gpt-5.4,zeroshot,9,2,2,5,0,0.5,0.5555555555555556,2,5,2,0,0.2857142857142857,0.2222222222222222
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-tracker,4,3,0,1,0,1.0,0.25,4,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,oneshot-warehouse,4,3,0,1,0,1.0,0.25,3,0,1,0,1.0,0.25
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,twoshot,4,3,0,1,0,1.0,0.25,4,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,DeepSeek-V3-0324,zeroshot,5,3,0,2,0,1.0,0.4,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,3,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,oneshot-warehouse,4,2,0,2,0,1.0,0.5,4,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,twoshot,4,2,0,2,0,1.0,0.5,4,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,claude-sonnet-4-6,zeroshot,5,3,0,2,0,1.0,0.4,5,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-tracker,5,2,0,3,0,1.0,0.6,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,oneshot-warehouse,4,1,0,3,0,1.0,0.75,2,0,2,0,1.0,0.5
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,twoshot,3,1,0,2,0,1.0,0.6666666666666666,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-4.1-mini,zeroshot,5,3,0,2,0,1.0,0.4,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-tracker,6,3,0,3,0,1.0,0.5,5,0,1,0,1.0,0.16666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,oneshot-warehouse,8,3,0,5,0,1.0,0.625,8,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,twoshot,6,3,0,3,0,1.0,0.5,5,0,1,0,1.0,0.16666666666666666
gpt-5.4,microservices,public-library,books-R8R9R10R11,gpt-5.4,zeroshot,7,4,0,3,0,1.0,0.42857142857142855,7,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,5,3,0,2,0,1.0,0.4,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,5,3,0,2,0,1.0,0.4,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,twoshot,4,2,0,2,0,1.0,0.5,3,0,1,0,1.0,0.25
gpt-5.4,microservices,public-library,borrows-R1R2R3,DeepSeek-V3-0324,zeroshot,5,3,0,2,0,1.0,0.4,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-tracker,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,twoshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,claude-sonnet-4-6,zeroshot,3,3,0,0,0,1.0,0.0,3,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-tracker,9,2,0,7,0,1.0,0.7777777777777778,2,0,7,0,1.0,0.7777777777777778
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,2,0,1,0,1.0,0.3333333333333333,2,1,0,0,0.6666666666666666,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,twoshot,5,2,0,3,0,1.0,0.6,2,0,3,0,1.0,0.6
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-4.1-mini,zeroshot,5,2,0,3,0,1.0,0.6,2,1,2,0,0.6666666666666666,0.4
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-tracker,5,3,0,2,0,1.0,0.4,3,1,1,0,0.75,0.2
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,oneshot-warehouse,5,2,0,3,0,1.0,0.6,4,1,0,0,0.8,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,twoshot,3,2,0,1,0,1.0,0.3333333333333333,2,1,0,0,0.6666666666666666,0.0
gpt-5.4,microservices,public-library,borrows-R1R2R3,gpt-5.4,zeroshot,3,2,0,1,0,1.0,0.3333333333333333,2,1,0,0,0.6666666666666666,0.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,0,0,4,0,,1.0,2,2,0,0,0.5,0.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,0,0,4,0,,1.0,2,1,1,0,0.6666666666666666,0.25
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,0,0,4,0,,1.0,2,2,0,0,0.5,0.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,5,3,0,2,0,1.0,0.4,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,6,3,0,3,0,1.0,0.5,4,0,2,0,1.0,0.3333333333333333
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,twoshot,5,2,0,3,0,1.0,0.6,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,claude-sonnet-4-6,zeroshot,5,0,0,5,0,,1.0,3,0,2,0,1.0,0.4
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,7,2,0,5,0,1.0,0.7142857142857143,3,2,2,0,0.6,0.2857142857142857
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,5,2,0,3,0,1.0,0.6,2,0,3,0,1.0,0.6
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,twoshot,7,0,0,7,0,,1.0,3,1,3,0,0.75,0.42857142857142855
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-4.1-mini,zeroshot,5,3,0,2,0,1.0,0.4,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-tracker,5,2,0,3,0,1.0,0.6,5,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,oneshot-warehouse,5,2,0,3,0,1.0,0.6,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,twoshot,5,4,0,1,0,1.0,0.2,4,0,1,0,1.0,0.2
gpt-5.4,microservices,public-library,cardholders-R4R5R6R7,gpt-5.4,zeroshot,5,3,0,2,0,1.0,0.4,3,1,1,0,0.75,0.2
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-tracker,4,0,0,4,0,,1.0,1,0,3,0,1.0,0.75
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,oneshot-warehouse,3,0,0,3,0,,1.0,1,0,2,0,1.0,0.6666666666666666
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,twoshot,3,0,0,3,0,,1.0,1,0,2,0,1.0,0.6666666666666666
gpt-5.4,microservices,public-library,logs-R12R13,DeepSeek-V3-0324,zeroshot,4,0,0,4,0,,1.0,1,0,3,0,1.0,0.75
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-tracker,1,0,0,1,0,,1.0,0,0,1,0,,1.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,oneshot-warehouse,0,0,0,0,0,,,0,0,0,0,,
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,twoshot,1,0,0,1,0,,1.0,0,0,1,0,,1.0
gpt-5.4,microservices,public-library,logs-R12R13,claude-sonnet-4-6,zeroshot,3,0,0,3,0,,1.0,1,0,2,0,1.0,0.6666666666666666
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-tracker,0,0,0,0,0,,,0,0,0,0,,
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,oneshot-warehouse,0,0,0,0,0,,,0,0,0,0,,
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,twoshot,0,0,0,0,0,,,0,0,0,0,,
gpt-5.4,microservices,public-library,logs-R12R13,gpt-4.1-mini,zeroshot,6,0,0,6,0,,1.0,0,0,5,1,,0.8333333333333334
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-tracker,1,0,0,1,0,,1.0,1,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,oneshot-warehouse,1,1,0,0,0,1.0,0.0,1,0,0,0,1.0,0.0
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,twoshot,0,0,0,0,0,,,0,0,0,0,,
gpt-5.4,microservices,public-library,logs-R12R13,gpt-5.4,zeroshot,1,0,0,1,0,,1.0,1,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-tracker,11,0,0,11,0,,1.0,8,1,2,0,0.8888888888888888,0.18181818181818182
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,oneshot-warehouse,10,0,0,10,0,,1.0,7,1,2,0,0.875,0.2
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,twoshot,10,0,0,10,0,,1.0,7,0,3,0,1.0,0.3
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,DeepSeek-V3-0324,zeroshot,5,0,0,5,0,,1.0,1,0,4,0,1.0,0.8
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-tracker,7,1,0,6,0,1.0,0.8571428571428571,7,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,oneshot-warehouse,10,4,0,6,0,1.0,0.6,10,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,twoshot,10,5,0,5,0,1.0,0.5,10,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,claude-sonnet-4-6,zeroshot,14,7,0,7,0,1.0,0.5,12,0,2,0,1.0,0.14285714285714285
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-tracker,22,2,0,20,0,1.0,0.9090909090909091,8,1,13,0,0.8888888888888888,0.5909090909090909
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,oneshot-warehouse,27,0,0,27,0,,1.0,1,2,24,0,0.3333333333333333,0.8888888888888888
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,twoshot,25,1,0,24,0,1.0,0.96,7,1,17,0,0.875,0.68
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-4.1-mini,zeroshot,23,0,0,23,0,,1.0,9,1,13,0,0.9,0.5652173913043478
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-tracker,11,2,0,9,0,1.0,0.8181818181818182,10,0,1,0,1.0,0.09090909090909091
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,oneshot-warehouse,10,2,0,8,0,1.0,0.8,10,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,twoshot,10,5,1,4,0,0.8333333333333334,0.4,9,1,0,0,0.9,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R14R15R16R17R18R46R56,gpt-5.4,zeroshot,12,1,0,11,0,1.0,0.9166666666666666,10,1,1,0,0.9090909090909091,0.08333333333333333
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-tracker,10,0,0,10,0,,1.0,3,2,5,0,0.6,0.5
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,oneshot-warehouse,6,0,0,6,0,,1.0,1,0,5,0,1.0,0.8333333333333334
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,twoshot,5,0,0,5,0,,1.0,1,0,4,0,1.0,0.8
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,DeepSeek-V3-0324,zeroshot,30,0,1,29,0,0.0,0.9666666666666667,1,3,26,0,0.25,0.8666666666666667
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-tracker,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,oneshot-warehouse,3,2,0,1,0,1.0,0.3333333333333333,2,0,1,0,1.0,0.3333333333333333
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,twoshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,claude-sonnet-4-6,zeroshot,2,2,0,0,0,1.0,0.0,2,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-tracker,21,0,0,21,0,,1.0,2,4,15,0,0.3333333333333333,0.7142857142857143
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,oneshot-warehouse,25,3,1,21,0,0.75,0.84,4,2,19,0,0.6666666666666666,0.76
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,twoshot,35,1,1,33,0,0.5,0.9428571428571428,4,6,25,0,0.4,0.7142857142857143
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-4.1-mini,zeroshot,17,4,0,13,0,1.0,0.7647058823529411,4,3,10,0,0.5714285714285714,0.5882352941176471
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-tracker,3,1,0,2,0,1.0,0.6666666666666666,2,0,1,0,1.0,0.3333333333333333
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,oneshot-warehouse,3,1,0,2,0,1.0,0.6666666666666666,2,0,1,0,1.0,0.3333333333333333
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,twoshot,2,0,0,2,0,,1.0,2,0,0,0,1.0,0.0
claude-sonnet-4-6,restestbench,fastapi,fastapi-R4R10R13R30R35R47,gpt-5.4,zeroshot,4,1,0,3,0,1.0,0.75,2,0,2,0,1.0,0.5
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,2,0,5,0,1.0,0.7142857142857143,4,1,2,0,0.8,0.2857142857142857
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,5,2,0,3,0,1.0,0.6,4,0,1,0,1.0,0.2
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,6,0,0,6,0,,1.0,3,0,3,0,1.0,0.5
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,4,3,0,1,0,1.0,0.25,3,0,1,0,1.0,0.25
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,8,3,0,5,0,1.0,0.625,4,0,4,0,1.0,0.5
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,8,4,0,4,0,1.0,0.5,4,1,3,0,0.8,0.375
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,4,0,3,0,1.0,0.42857142857142855,4,1,2,0,0.8,0.2857142857142857
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,5,4,0,1,0,1.0,0.2,4,0,1,0,1.0,0.2
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,23,4,0,19,0,1.0,0.8260869565217391,8,3,12,0,0.7272727272727273,0.5217391304347826
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,16,3,0,13,0,1.0,0.8125,6,1,9,0,0.8571428571428571,0.5625
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,14,4,0,10,0,1.0,0.7142857142857143,5,0,9,0,1.0,0.6428571428571429
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,11,2,0,9,0,1.0,0.8181818181818182,6,0,5,0,1.0,0.45454545454545453
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,6,0,1,0,1.0,0.14285714285714285,6,0,1,0,1.0,0.14285714285714285
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,6,0,1,0,1.0,0.14285714285714285,6,0,1,0,1.0,0.14285714285714285
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,8,5,0,3,0,1.0,0.375,7,0,1,0,1.0,0.125
claude-sonnet-4-6,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,6,0,1,0,1.0,0.14285714285714285,6,0,1,0,1.0,0.14285714285714285
claude-sonnet-4-6,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,12,1,0,11,0,1.0,0.9166666666666666,5,0,7,0,1.0,0.5833333333333334
