judge_model,experiment_type,app,variant,detector_model,method,n_omissions,tp_strict,fp_tracked_strict,excluded_strict,unknown_strict,precision_tracked_strict,exclusion_rate_strict,tp_broad,fp_tracked_broad,excluded_broad,unknown_broad,precision_tracked_broad,exclusion_rate_broad
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-tracker,7,3,0,4,0,1.0,0.5714285714285714,4,1,2,0,0.8,0.2857142857142857
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,oneshot-warehouse,5,4,0,1,0,1.0,0.2,4,0,1,0,1.0,0.2
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,twoshot,5,1,0,4,0,1.0,0.8,2,0,3,0,1.0,0.6
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,DeepSeek-V3-0324,zeroshot,4,1,0,3,0,1.0,0.75,3,0,1,0,1.0,0.25
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-tracker,8,1,0,7,0,1.0,0.875,4,0,4,0,1.0,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,oneshot-warehouse,8,4,0,4,0,1.0,0.5,4,2,2,0,0.6666666666666666,0.25
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,twoshot,7,4,0,3,0,1.0,0.42857142857142855,4,1,2,0,0.8,0.2857142857142857
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,claude-sonnet-4-6,zeroshot,5,3,0,2,0,1.0,0.4,4,0,1,0,1.0,0.2
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-tracker,24,4,1,19,0,0.8,0.7916666666666666,8,4,12,0,0.6666666666666666,0.5
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,oneshot-warehouse,16,5,0,11,0,1.0,0.6875,6,1,9,0,0.8571428571428571,0.5625
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,twoshot,14,4,0,10,0,1.0,0.7142857142857143,5,0,9,0,1.0,0.6428571428571429
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-4.1-mini,zeroshot,11,5,0,6,0,1.0,0.5454545454545454,5,0,6,0,1.0,0.5454545454545454
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-tracker,7,5,0,2,0,1.0,0.2857142857142857,6,0,1,0,1.0,0.14285714285714285
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,oneshot-warehouse,7,5,0,2,0,1.0,0.2857142857142857,6,0,1,0,1.0,0.14285714285714285
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,twoshot,7,5,0,2,0,1.0,0.2857142857142857,6,0,1,0,1.0,0.14285714285714285
gpt-5.4,restestbench,realworld,realworld-R2R10R13R15R24R26R28,gpt-5.4,zeroshot,7,6,0,1,0,1.0,0.14285714285714285,6,0,1,0,1.0,0.14285714285714285
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-tracker,12,3,0,9,0,1.0,0.75,5,0,7,0,1.0,0.5833333333333334
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,oneshot-warehouse,8,1,1,6,0,0.5,0.75,6,1,1,0,0.8571428571428571,0.125
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,twoshot,9,2,0,7,0,1.0,0.7777777777777778,5,0,4,0,1.0,0.4444444444444444
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,DeepSeek-V3-0324,zeroshot,9,4,2,3,0,0.6666666666666666,0.3333333333333333,6,2,1,0,0.75,0.1111111111111111
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-tracker,10,8,0,2,0,1.0,0.2,9,0,1,0,1.0,0.1
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,oneshot-warehouse,10,8,0,2,0,1.0,0.2,10,0,0,0,1.0,0.0
gpt-5.4,restestbench,realworld,realworld-R5R6R9R12R19R23R25R27R29,claude-sonnet-4-6,twoshot,9,9,0,0,0,1.0,0.0,9,0,0,0,1.0,0.0
